DATE,STATION_NAME,NB_VALID,DEPARTEMENT
2019-07-01,LA PLAINE-STADE DE FRANCE,18306,93
2019-07-01,LA REMISE A JORELLE,15,93
2019-07-01,LA TOUR MAUBOURG,4808,75
2019-07-01,LA VERRIERE,6935,78
2019-07-01,LAGNY-THORIGNY,5527,77
2019-07-01,LAMARCK-CAULAINCOURT,5821,75
2019-07-01,LARDY,466,91
2019-07-01,LAUMIERE,10753,75
2019-07-01,LE BOURGET,9840,93
2019-07-01,LE BRAS-DE-FER,3987,91
2019-07-01,LE KREMLIN-BICETRE,6821,94
2019-07-01,LE MEE,2308,77
2019-07-01,LE PELETIER,6442,75
2019-07-01,LE PERRAY,741,78
2019-07-01,LE PLESSIS-CHENET,37,91
2019-07-01,LE RAINCY-VILLEMOMBLE-MONTFERMEIL,10736,93
2019-07-01,LE STADE,3141,92
2019-07-01,LE VAL-D'OR,2587,92
2019-07-01,LE VERT-DE-MAISONS,4142,94
2019-07-01,LEDRU-ROLLIN,8770,75
2019-07-01,LES AGNETTES-ASNIERES-GENNEVILLIERS,5551,92
2019-07-01,LES ARDOINES,2674,94
2019-07-01,LES BOULLEREAUX-CHAMPIGNY,2936,94
2019-07-01,LES CLAIRIERES-DE-VERNEUIL,362,78
2019-07-01,LES COQUETIERS,11,93
2019-07-01,LES COURTILLES,10412,92
2019-07-01,LES GOBELINS,8335,75
2019-07-01,LES GRESILLONS,3648,95
2019-07-01,LES HALLES,42079,75
2019-07-01,LES MUREAUX,5228,95
2019-07-01,LES NOUES,1242,91
2019-07-01,LES SABLONS (JARDIN D'ACCLIMATATION),16284,92
2019-07-01,LES SAULES,1106,91
2019-07-01,LES VALLEES,5193,92
2019-07-01,LES YVRIS-NOISY-LE-GRAND,897,93
2019-07-01,LES-ESSARTS-LE-ROI,816,78
2019-07-01,LIBERTE,6547,94
2019-07-01,LIEGE,4505,75
2019-07-01,LIEUSAINT-MOISSY,7710,77
2019-07-01,LIMAY,521,95
2019-07-01,LIVRY-SUR-SEINE,109,77
2019-07-01,LIZY-SUR-OURCQ,305,77
2019-07-01,LONGJUMEAU,581,91
2019-07-01,LONGUEVILLE,807,77
2019-07-01,LOUIS BLANC,5617,75
2019-07-01,LOUISE MICHEL,9532,92
2019-07-01,LOURMEL,5635,75
2019-07-01,LOUVECIENNES,910,92
2019-07-01,LOUVRE-RIVOLI,5024,75
2019-07-01,LOUVRES,1505,95
2019-07-01,LUZARCHES,329,95
2019-07-01,LYCEE HENRI SELLIER,5,93
2019-07-01,M. MONTROUGE,14561,92
2019-07-01,MABILLON,3465,75
2019-07-01,MADELEINE,22951,75
2019-07-01,MAGENTA,7770,75
2019-07-01,MAIRIE D'ISSY,10174,92
2019-07-01,MAIRIE D'IVRY,7726,94
2019-07-01,MAIRIE DE CLICHY,16809,92
2019-07-01,MAIRIE DE MONTREUIL,20915,93
2019-07-01,MAIRIE DE SAINT-OUEN,12426,93
2019-07-01,MAIRIE DES LILAS,10770,93
2019-07-01,MAISON BLANCHE,4516,75
2019-07-01,MAISONS-ALFORT-ALFORTVILLE,16659,94
2019-07-01,MAISONS-ALFORT-LES JUILLIOTTES,6005,94
2019-07-01,MAISONS-ALFORT-STADE,4343,94
2019-07-01,MAISONS-LAFFITTE,9657,78
2019-07-01,MAISSE,128,91
2019-07-01,MALAKOFF-PLATEAU DE VANVES,9566,92
2019-07-01,MALAKOFF-RUE ETIENNE DOLET,6286,92
2019-07-01,MALESHERBES,6422,75
2019-07-01,MANTES-LA-JOLIE,3600,95
2019-07-01,MANTES-STATION,1174,95
2019-07-01,MARAICHERS,7181,75
2019-07-01,MARCADET-POISSONNIERS,15218,75
2019-07-01,MARCEL SEMBAT,14570,92
2019-07-01,MAREIL-MARLY,5,78
2019-07-01,MAREIL-SUR-MAULDRE,114,78
2019-07-01,MARLES-EN-BRIE,539,77
2019-07-01,MARLY-LE-ROI,1922,78
2019-07-01,MAROLLES-EN-HUREPOIX,1186,91
2019-07-01,MARX DORMOY,7731,75
